MAE 18.18, MSE 62.00 
MAE 19.26, MSE 62.02 
MAE 17.50, MSE 59.30 
MAE 18.67, MSE 60.70 
MAE 17.66, MSE 60.23 
MAE 19.40, MSE 62.40 
MAE 18.73, MSE 62.27 
MAE 20.88, MSE 62.88 
MAE 18.20, MSE 62.54 
MAE 19.26, MSE 61.92 
MAE 18.74, MSE 62.67 
MAE 17.71, MSE 59.81 
MAE 18.61, MSE 60.70 
MAE 19.35, MSE 64.96 
MAE 18.43, MSE 63.69 
MAE 18.55, MSE 63.64 
MAE 18.42, MSE 61.19 
MAE 18.27, MSE 62.62 
MAE 17.99, MSE 62.62 
MAE 18.33, MSE 63.49 
MAE 18.78, MSE 64.99 
MAE 19.04, MSE 62.53 
MAE 19.88, MSE 64.18 
MAE 18.70, MSE 61.82 
MAE 19.55, MSE 63.99 
MAE 19.66, MSE 64.41 
MAE 19.02, MSE 64.00 
MAE 18.87, MSE 66.95 
MAE 21.30, MSE 67.08 
MAE 18.77, MSE 63.51 
MAE 20.58, MSE 70.02 
MAE 19.66, MSE 61.78 
MAE 19.80, MSE 67.37 
MAE 20.64, MSE 67.17 
MAE 18.33, MSE 61.66 
MAE 18.77, MSE 68.10 
MAE 18.85, MSE 67.77 
MAE 19.82, MSE 65.04 
MAE 19.93, MSE 67.72 
MAE 18.83, MSE 66.14 
MAE 18.80, MSE 65.01 
MAE 19.03, MSE 65.48 
MAE 19.33, MSE 65.06 
MAE 18.15, MSE 63.00 
MAE 19.58, MSE 66.33 
MAE 19.14, MSE 67.62 
MAE 19.97, MSE 64.99 
MAE 17.79, MSE 60.13 
MAE 20.40, MSE 66.03 
